1.7082e-05  1999.0000000
2.2078e-02  1977.0000000
4.7151e-02  1849.0000000
7.6840e-02  1634.0000000
1.1457e-01  1347.0000000
1.6259e-01  993.0000000
2.2506e-01  679.0000000
3.0401e-01  470.0000000
3.7233e-01  390.0000000
4.2553e-01  382.0000000
4.6527e-01  500.0000000
4.9804e-01  616.0000000
5.2508e-01  768.0000000
5.4744e-01  923.0000000
5.6621e-01  1098.0000000
5.8533e-01  1333.0000000
6.0239e-01  1552.0000000
6.1834e-01  1699.0000000
6.3539e-01  1825.0000000
6.5305e-01  1926.0000000
6.7161e-01  1997.0000000
6.9295e-01  1954.0000000
7.1711e-01  1850.0000000
7.4648e-01  1652.0000000
7.8190e-01  1392.0000000
8.2795e-01  1073.0000000
8.9271e-01  703.0000000
9.8141e-01  454.0000000
1.0626e+00  352.0000000
1.1214e+00  354.0000000
1.1651e+00  424.0000000
1.1971e+00  572.0000000
1.2239e+00  727.0000000
1.2461e+00  915.0000000
1.2641e+00  1179.0000000
1.2812e+00  1393.0000000
1.2980e+00  1635.0000000
1.3137e+00  1793.0000000
1.3301e+00  1965.0000000
1.3480e+00  2046.0000000
1.3669e+00  2035.0000000
1.3894e+00  1964.0000000
1.4146e+00  1843.0000000
1.4467e+00  1605.0000000
1.4915e+00  1276.0000000
1.5453e+00  937.0000000
1.6178e+00  563.0000000
1.7027e+00  397.0000000
1.7751e+00  320.0000000
1.8293e+00  355.0000000
1.8706e+00  436.0000000
1.9023e+00  581.0000000
1.9265e+00  726.0000000
1.9463e+00  963.0000000
1.9637e+00  1178.0000000
1.9793e+00  1416.0000000
1.9943e+00  1619.0000000
2.0082e+00  1866.0000000
2.0222e+00  2076.0000000
2.0370e+00  2228.0000000
2.0529e+00  2325.0000000
2.0705e+00  2341.0000000
2.0914e+00  2244.0000000
2.1166e+00  1967.0000000
2.1508e+00  1620.0000000
2.1969e+00  1224.0000000
2.2613e+00  782.0000000
2.3511e+00  439.0000000
2.4467e+00  270.0000000
